           1 ,           0 ,   10.6519613    
           3 ,           0 ,   18.6589756    
           5 ,           0 ,  -12.5433874    
           6 ,           0 ,  -13.6540346    
           8 ,           0 ,  -12.4657640    
          10 ,           0 ,  -9.07634926    
          12 ,           0 ,  -23.6621170    
          13 ,           0 ,  -3.06832623    
           1 ,           1 ,  -15.6515951    
           3 ,           2 ,  -30.5191936    
           5 ,           1 ,   107.333458    
           6 ,           2 ,  -1.19961119    
           8 ,           1 ,  -18.6236935    
          10 ,           2 ,  -5.43421555    
          12 ,           1 ,   5.83881712    
          13 ,           2 ,  -8.60905170    
           1 ,           4 ,  -14.6114712    
           3 ,           3 ,  -20.8169098    
           5 ,           4 ,   2.09994125    
           6 ,           3 ,  -26.1097507    
           8 ,           4 ,  -15.4136772    
          10 ,           3 ,   113.606354    
          12 ,           4 ,   3.98631811    
          13 ,           3 ,   26.1513901    
           1 ,           5 ,   19.5431919    
           3 ,           6 ,  -53.6388550    
           5 ,           5 ,  -30.8679981    
           6 ,           6 ,  -1.64499128    
           8 ,           5 ,  -15.0932131    
          10 ,           6 ,  -26.3903065    
          12 ,           5 ,  -13.4820614    
          13 ,           6 ,  -3.44070172    
           1 ,           8 ,  -45.3864098    
           3 ,           7 ,   47.9313202    
           5 ,           8 ,  -25.5967293    
           6 ,           7 ,  -24.0609169    
           8 ,           8 ,  -9.71570778    
          10 ,           7 ,  -36.8059807    
          12 ,           8 ,   122.231201    
          13 ,           7 ,   27.2685032    
           1 ,           9 ,  -37.0891762    
           3 ,          10 ,  -96.0975494    
           5 ,           9 ,  -20.7010212    
           6 ,          10 ,  -23.0837936    
           8 ,           9 ,   32.3040390    
          10 ,          10 ,  -9.65468693    
          12 ,           9 ,  -8.93302727    
          13 ,          10 ,  -32.6772804    
           1 ,          12 ,  -57.3574181    
           3 ,          11 ,  -21.5290756    
           5 ,          12 ,  -20.6152077    
           6 ,          11 , -0.679451108    
           8 ,          12 ,  -4.29769945    
          10 ,          11 ,  -26.5732174    
          12 ,          12 ,   19.1004009    
          13 ,          11 ,  -28.7539444    
           1 ,          13 ,  -10.6971006    
           3 ,          14 ,  -7.38178062    
           5 ,          13 ,  0.316283315    
           6 ,          14 ,  -9.97751427    
           8 ,          13 ,  -13.3709660    
          10 ,          14 ,  -1.48709905    
          12 ,          13 ,  -3.67446184    
          13 ,          14 ,   6.89409113    
